"","ISO3","NAMEfr","NAMEen","name","gdp","source"
"120","MDG","Madagascar","Madagascar","Madagascar","15.676","IMF (2021)"
"121","MDV","Maldives","Maldives","Maldives","5.4560000000000004","IMF (2021)"
"122","MEX","Mexique","Mexico","Mexico","1094.528","IMF (2021)"
"123","MHL","Îles Marshall","Marshall Islands","Marshall Islands","0.22800000000000001","IMF (2021)"
"124","MKD","Macédoine","Macedonia","North Macedonia","14.41","IMF (2021)"
"125","MLI","Mali","Mali","Mali","20.100999999999999","IMF (2021)"
"126","MLT","Malte","Malta","Malta","16.338000000000001","IMF (2021)"
"127","MMR","Myanmar","Myanmar","Myanmar","77.171999999999997","IMF (2021)"
"128","MNE","Monténégro","Montenegro","Montenegro","5.7060000000000004","IMF (2021)"
"129","MNG","Mongolie","Mongolia","Mongolia","14.122999999999999","IMF (2021)"
"130","MOZ","Mozambique","Mozambique","Mozambique","14.141999999999999","IMF (2021)"
"131","MRT","Mauritanie","Mauritania","Mauritania","7.5540000000000003","IMF (2021)"
"132","MUS","Maurice","Mauritius","Mauritius","12.199999999999999","IMF (2021)"
"133","MWI","Malawi","Malawi","Malawi","8.532","IMF (2021)"
"134","MYS","Malaisie","Malaysia","Malaysia","380.26100000000002","IMF (2021)"
"135","NAM","Namibia","Namibia","Namibia","11.487","IMF (2021)"
"136","NCL","Nouvelle-Calédonie","New Caledonia",NA,"2.6823470643642","World Bank (2000)"
"137","NER","Niger","Niger","Niger","14.259","IMF (2021)"
"138","NGA","Nigéria","Nigeria","Nigeria","466.87900000000002","IMF (2021)"
"139","NIC","Nicaragua","Nicaragua","Nicaragua","11.965999999999999","IMF (2021)"
"140","NLD","Pays-Bas","Netherlands","Netherlands","1005.711","IMF (2021)"
"141","NOR","Norvège","Norway","Norway","414.22800000000001","IMF (2021)"
"142","NPL","Népal","Nepal","Nepal","34.045999999999999","IMF (2021)"
"143","NRU","Nauru","Nauru","Nauru","0.13","IMF (2021)"
"144","NZL","Nouvelle-Zélande","New Zealand","New Zealand","211.65299999999999","IMF (2021)"
"145","OMN","Oman","Oman","Oman","65.302999999999997","IMF (2021)"
"146","PAK","Pakistan","Pakistan","Pakistan","278.221906022841","World Bank (2019)"
"147","PAN","Panama","Panama","Panama","62.798999999999999","IMF (2021)"
"148","PER","Pérou","Peru","Peru","210.733","IMF (2021)"
"149","PHL","Philippines","Philippines","Philippines","398.33199999999999","IMF (2021)"
"150","PLW","Palaos","Palau","Palau","0.23499999999999999","IMF (2021)"
"151","PNG","Papouasie-Nouvelle-Guinée","Papua New Guinea","Papua New Guinea","23.266999999999999","IMF (2021)"
"152","POL","Pologne","Poland","Poland","634.899","IMF (2021)"
"153","PRI","Porto Rico","Puerto Rico","Puerto Rico","95.912999999999997","IMF (2021)"
"154","PRK","Corée du Nord","North Korea",NA,NA,NA
"155","PRT","Portugal","Portugal","Portugal","257.05500000000001","IMF (2021)"
"156","PRY","Paraguay","Paraguay","Paraguay","38.286999999999999","IMF (2021)"
"157","PSE","Palestine","Palestine","West Bank and Gaza","15.965","IMF (2021)"
"158","QAT","Qatar","Qatar","Qatar","155.571","IMF (2021)"
"159","ROU","Roumanie","Romania","Romania","289.40800000000002","IMF (2021)"
"160","RUS","Russie","Russia","Russian Federation","1584.2159999999999","IMF (2021)"
"161","RWA","Rwanda","Rwanda","Rwanda","10.621","IMF (2021)"
"162","SAH","Sahara occidental","Western Sahara",NA,NA,NA
"163","SAU","Arabie saoudite","Saudi Arabia","Saudi Arabia","735.48299999999995","IMF (2021)"
"164","SDN","Soudan","Sudan","Sudan","32.475999999999999","IMF (2021)"
"165","SEN","Sénégal","Senegal","Senegal","28.103000000000002","IMF (2021)"
"166","SGP","Singapour","Singapore","Singapore","362.524","IMF (2021)"
"167","SLB","Îles Salomon","Solomon Islands","Solomon Islands","1.675","IMF (2021)"
"168","SLE","Sierra Leone","Sierra Leone","Sierra Leone","3.8420000000000001","IMF (2021)"
"169","SLV","Salvador","El Salvador","El Salvador","26.224","IMF (2021)"
"170","SMR","Saint-Marin","San Marino","San Marino","1.5149999999999999","IMF (2021)"
"171","SOM","Somalie","Somalia","Somalia","5.3650000000000002","IMF (2021)"
"172","SRB","Serbie","Serbia","Serbia","58.332999999999998","IMF (2021)"
"173","SSD","Soudan du Sud","South Sudan","South Sudan, Republic of","4.5750000000000002","IMF (2021)"
"174","STP","Sao Tomé-et-Principe","Sao Tome and Principe","São Tomé and Príncipe","0.47599999999999998","IMF (2021)"
"175","SUR","Suriname","Suriname","Suriname","3.0099999999999998","IMF (2021)"
"176","SVK","Slovaquie","Slovakia","Slovak Republic","118.07899999999999","IMF (2021)"
"177","SVN","Slovénie","Slovenia","Slovenia","59.475000000000001","IMF (2021)"
"178","SWE","Suède","Sweden","Sweden","611.97000000000003","IMF (2021)"
"179","SWZ","Swaziland","Swaziland","Eswatini","4.2110000000000003","IMF (2021)"
"180","SYC","Seychelles","Seychelles","Seychelles","1.24","IMF (2021)"
"181","SYR","Syrie","Syria","Syria","40.4050060072086","World Bank (2007)"
"182","TCD","Tchad","Chad","Chad","12.013","IMF (2021)"
"183","TGO","Togo","Togo","Togo","6.4420000000000002","IMF (2021)"
"184","THA","Thaïlande","Thailand","Thailand","536.84100000000001","IMF (2021)"
"185","TJK","Tadjikistan","Tajikistan","Tajikistan","8.2200000000000006","IMF (2021)"
"186","TKM","Turkménistan","Turkmenistan","Turkmenistan","53.268999999999998","IMF (2021)"
"187","TLS","Timor oriental","East Timor","Timor-Leste","1.7110000000000001","IMF (2021)"
"188","TON","Tonga","Tonga","Tonga","0.495","IMF (2021)"
"189","TTO","Trinité-et-Tobago","Trinidad and Tobago","Trinidad and Tobago","23.440999999999999","IMF (2021)"
"190","TUN","Tunisie","Tunisia","Tunisia","40.624000000000002","IMF (2021)"
"191","TUR","Turquie","Turkey","Turkey","652.40800000000002","IMF (2021)"
"192","TUV","Tuvalu","Tuvalu","Tuvalu","0.048000000000000001","IMF (2021)"
"193","TWN","Taïwan","Taiwan","Taiwan Province of China","682.702","IMF (2021)"
"194","TZA","Tanzanie","Tanzania","Tanzania","67.622","IMF (2021)"
"195","UGA","Ouganda","Uganda","Uganda","41.241","IMF (2021)"
"196","UKR","Ukraine","Ukraine","Ukraine","149.53700000000001","IMF (2021)"
"197","URY","Uruguay","Uruguay","Uruguay","57.741999999999997","IMF (2021)"
"198","USA","États-Unis d'Amérique","United States of America","United States","21921.584999999999","IMF (2021)"
