"","ETOPO1_Ice_g_geotiff","X","Y"
"1142",1365,-85.841666666246,80.8416666673164
"1143",1507,-84.1749999995778,80.8416666673164
"1144",1570,-82.5083333329096,80.8416666673164
"1145",1891,-80.8416666662414,80.8416666673164
"1146",1873,-79.1749999995732,80.8416666673164
"1147",2240,-77.508333332905,80.8416666673164
"1148",2099,-75.8416666662367,80.8416666673164
"1149",2125,-74.1749999995685,80.8416666673164
"1150",1927,-72.5083333329003,80.8416666673164
"1151",1662,-70.8416666662321,80.8416666673164
"1152",1527,-69.1749999995639,80.8416666673164
"1153",1456,-67.5083333328957,80.8416666673164
"1154",993,-65.8416666662275,80.8416666673164
"1155",1120,-64.1749999995593,80.8416666673164
"1156",1127,-62.5083333328911,80.8416666673164
"1157",1124,-60.8416666662228,80.8416666673164
"1158",1391,-59.1749999995546,80.8416666673164
"1159",1367,-57.5083333328864,80.8416666673164
"1160",1446,-55.8416666662182,80.8416666673164
"1161",1582,-54.17499999955,80.8416666673164
"1162",1759,-52.5083333328818,80.8416666673164
"1163",1882,-50.8416666662136,80.8416666673164
"1164",1956,-49.1749999995453,80.8416666673164
"1165",2012,-47.5083333328772,80.8416666673164
"1166",2081,-45.8416666662089,80.8416666673164
"1167",2129,-44.1749999995407,80.8416666673164
"1168",2152,-42.5083333328725,80.8416666673164
"1169",2151,-40.8416666662043,80.8416666673164
"1170",2117,-39.1749999995361,80.8416666673164
"1171",2059,-37.5083333328679,80.8416666673164
"1172",1997,-35.8416666661997,80.8416666673164
"1173",1931,-34.1749999995315,80.8416666673164
"1174",1838,-32.5083333328632,80.8416666673164
"1175",1725,-30.841666666195,80.8416666673164
"1176",1587,-29.1749999995268,80.8416666673164
"1177",1408,-27.5083333328586,80.8416666673164
"1178",1035,-25.8416666661904,80.8416666673164
"1179",912,-24.1749999995222,80.8416666673164
"1180",972,-22.508333332854,80.8416666673164
"1181",1230,-20.8416666661857,80.8416666673164
"1182",1289,-19.1749999995176,80.8416666673164
"1183",1067,-17.5083333328493,80.8416666673164
"1184",789,-15.8416666661811,80.8416666673164
"1185",647,-14.1749999995129,80.8416666673164
"1186",584,-12.5083333328447,80.8416666673164
"1187",72,-10.8416666661765,80.8416666673164
"1202",41,14.1583333338467,80.8416666673164
"1203",71,15.8250000005149,80.8416666673164
"1204",94,17.4916666671831,80.8416666673164
"1205",516,19.1583333338513,80.8416666673164
"1206",618,20.8250000005195,80.8416666673164
"1207",540,22.4916666671878,80.8416666673164
"1208",549,24.158333333856,80.8416666673164
"1209",539,25.8250000005242,80.8416666673164
"1210",274,27.4916666671924,80.8416666673164
"1212",219,30.8250000005288,80.8416666673164
"1213",262,32.491666667197,80.8416666673164
"1214",261,34.1583333338652,80.8416666673164
"1215",7,35.8250000005335,80.8416666673164
"1216",72,37.4916666672017,80.8416666673164
"1220",10,44.1583333338745,80.8416666673164
"1221",383,45.8250000005427,80.8416666673164
"1222",481,47.4916666672109,80.8416666673164
"1223",403,49.1583333338791,80.8416666673164
"1224",420,50.8250000005474,80.8416666673164
"1225",533,52.4916666672156,80.8416666673164
"1226",414,54.1583333338838,80.8416666673164
"1227",445,55.825000000552,80.8416666673164
"1228",517,57.4916666672202,80.8416666673164
"1229",569,59.1583333338884,80.8416666673164
"1230",567,60.8250000005566,80.8416666673164
"1231",430,62.4916666672248,80.8416666673164
"1232",507,64.1583333338931,80.8416666673164
"1233",178,65.8250000005613,80.8416666673164
"1241",280,79.158333333907,80.8416666673164
"1242",217,80.8250000005752,80.8416666673164
"1248",316,90.8250000005845,80.8416666673164
"1249",322,92.4916666672527,80.8416666673164
"1250",780,94.1583333339209,80.8416666673164
"1251",745,95.8250000005891,80.8416666673164
"1252",702,97.4916666672573,80.8416666673164
"1253",41,99.1583333339255,80.8416666673164
"1343",30,-112.508333332937,79.1750000006466
"1344",145,-110.841666666269,79.1750000006466
"1345",70,-109.174999999601,79.1750000006466
"1347",100,-105.841666666265,79.1750000006466
"1348",309,-104.174999999596,79.1750000006466
"1349",359,-102.508333332928,79.1750000006466
"1350",322,-100.84166666626,79.1750000006466
"1351",301,-99.1749999995917,79.1750000006466
"1352",311,-97.5083333329235,79.1750000006466
"1353",872,-95.8416666662553,79.1750000006466
"1354",1310,-94.1749999995871,79.1750000006466
"1355",1917,-92.5083333329189,79.1750000006466
"1356",2170,-90.8416666662507,79.1750000006466
"1357",1664,-89.1749999995824,79.1750000006466
"1358",1419,-87.5083333329142,79.1750000006466
"1359",1549,-85.841666666246,79.1750000006466
"1360",1051,-84.1749999995778,79.1750000006466
"1361",1314,-82.5083333329096,79.1750000006466
"1362",2026,-80.8416666662414,79.1750000006466
"1363",2171,-79.1749999995732,79.1750000006466
"1364",1875,-77.508333332905,79.1750000006466
