"","id","country","name","gdppc1995","gdppc1996","gdppc1997","gdppc1998","gdppc1999","gdppc2000","gdppc2001","gdppc2002","gdppc2003","gdppc2004","gdppc2005","gdppc2006","gdppc2007","gdppc2008","gdppc2009","gdppc2010","gdppc2011","gdppc2012","gdppc2013","gdppc2014","gdppc2015","gdppc2016","gdppc2017","gdppc2018"
"399","ME29","MEX","Tlaxcala",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10397,11071,9605,9202,9148,9470,9314,9939,9361,9714,9462,9693,10449,10350,10018,10271
"409","US49","USA","Utah",NULL,NULL,38288,40003,41084,42003,42082,42235,42537,44078,45909,48856,49972,48373,45869,46309,47227,47240,47680,48599,50094,51372,52395,53571
"416","ME30","MEX","Veracruz",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10730,11313,11204,12033,12263,12322,11888,12455,12705,13362,13229,13354,13538,13257,13048,13194
"418","US50","USA","Vermont",NULL,NULL,36306,37236,38910,40287,41317,42328,43378,45161,45332,45376,44850,45693,45634,47191,47887,48316,47821,48001,49150,50243,50117,50514
"423","US51","USA","Virginia",NULL,NULL,44748,46984,48930,50374,51779,51998,53371,54897,56959,57443,57397,56575,56867,57426,56964,56925,56749,56348,57908,58123,58466,59446
"431","US53","USA","Washington",NULL,NULL,48062,50678,54108,53968,52496,52980,53666,53998,56683,57883,60706,60198,58462,59068,59336,60862,61969,63335,65655,66667,68680,71321
"439","US54","USA","West Virginia",NULL,NULL,30033,30711,31658,31623,32038,32513,32663,33504,35043,35957,36199,37458,37556,38355,39397,39137,39433,39291,38154,37688,39116,40702
"449","US55","USA","Wisconsin",NULL,NULL,40931,42673,44292,45057,45619,46223,47025,48192,48746,49134,49192,48190,47739,48701,49363,50225,50657,51629,53084,53757,54022,54917
"450","US56","USA","Wyoming",NULL,NULL,42316,42309,43805,46684,49510,49392,52977,56254,63317,72085,77482,86527,70960,72190,74068,69832,68809,68403,64414,60550,62848,64228
"452","ME31","MEX","Yucatan",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12582,12615,13063,13234,13417,13276,13248,13335,13243,13867,14024,14438,15063,15599,15788,16027
"453","CA60","CAN","Yukon",43784,45056,42674,41617,41871,44708,47049,45510,44591,45755,46972,48951,50137,53430,56085,57572,58746,58155,58841,58686,56041,57541,57067,57180
"454","ME32","MEX","Zacatecas",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9213,9752,9586,10324,10628,11152,11722,12963,13706,13850,12709,13103,13730,13986,13936,13520
